gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,2018-03-14,0,1.0,0.983264046788,0.861423197426,0.666837034525,0.49636467587,0.290729756431,0.179616289569,1,222,Villanova,94.92,East,1
mens,2018-03-14,0,1.0,0.978539485268,0.831920666334,0.611027331247,0.410680677925,0.263774937461,0.137398641638,1,258,Virginia,93.07,South,1
mens,2018-03-14,0,1.0,0.95806152363,0.806459495977,0.467797898222,0.288977837052,0.162971794498,0.100415619989,1,150,Duke,92.59,Midwest,2
mens,2018-03-14,0,1.0,0.954136244974,0.764045853117,0.61744389978,0.318595200496,0.152886169709,0.082789305322,1,2305,Kansas,90.88,Midwest,1
mens,2018-03-14,0,1.0,0.922757000474,0.747934056846,0.403248688753,0.243699081918,0.120503116479,0.06683775899,1,127,Michigan State,91.67,Midwest,3
mens,2018-03-14,0,1.0,0.932632274959,0.775165368501,0.525236709918,0.252412570832,0.145424852876,0.06671734277,1,2132,Cincinnati,91.06,South,2
mens,2018-03-14,0,1.0,0.977510528408,0.732650723025,0.5003068436,0.201836563086,0.101274620092,0.054956182783,1,2509,Purdue,91.08,East,2
mens,2018-03-14,0,1.0,0.964770082784,0.788145696938,0.458877627382,0.251543921059,0.120292493306,0.053134312657,1,153,North Carolina,90.62,West,2
mens,2018-03-14,0,1.0,0.9170089991,0.697667104571,0.430980789771,0.239824631634,0.10141483733,0.039790093597,1,2250,Gonzaga,89.54,West,4
mens,2018-03-14,0,1.0,0.972796976559,0.700162774101,0.341806423273,0.170630426173,0.074522987695,0.030158744904,1,2752,Xavier,88.88,West,1
mens,2018-03-14,0,1.0,0.893139074058,0.549710436169,0.271200969845,0.136977145737,0.059146722236,0.023675628405,1,130,Michigan,88.54,West,3
mens,2018-03-14,0,1.0,0.757058643213,0.401467186527,0.155804192597,0.083921649425,0.044146758565,0.018294788666,1,96,Kentucky,88.17,South,5
